circ_name	circ_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	M300_1SF	M300_2SF	M300_3SF	M300_1PF	M300_2PF	M300_3PF	Y300_1SF	Y300_2SF	Y300_3SF	Y300_1PF	Y300_2PF	Y300_3PF
sus_circPLCB1_47	17:17623991|17630911	3.72054679247867	-2.92793747136086	0.884679208926104	-3.30960357361062	0.000934281922971879	0.0466991249687393	1.93178629855149	0.953218147863106	0	0	1.20874377810866	0.779439449513845	8.02887473184015	7.86206205226521	12.6811429250179	2.1652179581939	6.52577141313073	2.51030475525911
sus_circRAB6A_20	9:8147104|8161582	10.3496713419947	-1.77757283278648	0.485526362032199	-3.6611252689686	0.000251109936694479	0.0178149881985858	5.79535889565446	2.85965444358932	0	3.8221305957095	4.83497511243463	9.35327339416614	13.3814578864003	23.5861861567956	14.6320879904052	20.9304402625411	13.7041199675745	11.296371398666
sus_circRXRA_2	1:273771031|273777030	1.90222089380328	-4.26622096120478	1.21083091377618	-3.52338292049372	0.000426075295422796	0.0266830791154102	0	0	0	0	0	0	0.669072894320013	3.9310310261326	9.75472532693683	1.44347863879593	3.26288570656537	3.76545713288867
sus_circSLC5A10_24	12:60361138|60376568	6.93674334181565	-5.17139688287193	0.938014444358544	-5.51313139576264	3.52504859029616e-08	1.57922176845268e-05	0.965893149275744	0.953218147863106	0	0	0	0	16.7268223580003	11.7930930783978	15.6075605230989	6.49565387458171	15.0092742502007	15.6894047203695
sus_circSLC5A10_25	12:60361138|60376920	11.9157897455313	-3.62602600601089	0.636353787954504	-5.69812905124111	1.21129349463106e-08	7.23545980792956e-06	0.965893149275744	0	1.2508179933527	2.54808706380633	3.62623133432597	2.33831834854153	35.4608633989607	41.2758257743923	14.6320879904052	11.5478291103675	12.3989656849484	16.944557097999
sus_circSNX7_9	4:119216681|119229594	3.7467984239435	-3.7060360398405	1.04062559929483	-3.56135390322114	0.000368947383797461	0.0244308617762988	0	1.90643629572621	1.2508179933527	0	0	0	4.68351026024009	9.82757756533151	6.82830772885578	2.1652179581939	2.61030856525229	15.6894047203695
sus_circSTK39_26	15:74668450|74690511	4.79662693956713	-2.99253368933791	0.821290177434244	-3.64369838037848	0.000268748336583166	0.0187635202268974	3.86357259710298	0.953218147863106	1.2508179933527	0	0	0	4.01443736592008	15.7241241045304	10.7301978596305	10.1043504715715	6.52577141313073	4.39303332170345
sus_circTCP1_7	1:7594612|7598381	8.23234489545831	-2.86967255359072	0.755243203060859	-3.79966683839123	0.000144890742053072	0.0118020095345047	0.965893149275744	2.85965444358932	1.2508179933527	1.27404353190317	4.83497511243463	0.779439449513845	28.1010615614405	19.655155130663	27.3132309154231	2.1652179581939	4.56803998919151	5.02060951051823
sus_circTMEM237_8	15:105263579|105266463	5.50719431029614	-5.80486524883204	1.14616108756048	-5.06461553426777	4.09225393462091e-07	0.000129411512661894	0	0	0	0	0	0	2.00721868296004	21.6206706437293	0.975472532693683	18.7652223043472	3.26288570656537	19.4548618532581
sus_circTMEM44,LSG1_8	13:131635186|131653366	21.7773401390098	-7.78782048190029	0.966896109383461	-8.05445425451777	7.98342070807159e-16	2.14594348632964e-12	0	0	0	0	0	0	9.36702052048018	86.4826825749173	66.3321322231704	32.4782693729085	36.5443199135321	30.1236570631094
sus_circUHRF1BP1L_72	5:84007999|84034579	2.21146868342347	-4.46580279646585	1.11132372394798	-4.01845357948545	5.85813470149282e-05	0.00629440846731445	0	0	0	0	0	0	4.01443736592008	7.86206205226521	2.92641759808105	1.44347863879593	6.52577141313073	3.76545713288867
sus_circURI1_2	6:40073252|40106140	1.93098700648858	-3.75974227811472	1.10367473553219	-3.40656731287936	0.000657853264113911	0.0380281628803912	0	0	0	0	1.20874377810866	0	2.67629157728005	3.9310310261326	1.95094506538737	5.77391455518374	2.61030856525229	5.02060951051823
sus_circUTRN_162	1:20873894|20888975	3.91254519077497	-5.28050264652598	1.02185370197216	-5.16757206666148	2.37154534864911e-07	8.49961852955841e-05	0	0	0	0	0	0	3.34536447160006	13.7586085914641	8.77925279424315	10.8260897909695	5.22061713050459	5.02060951051823
sus_circVPS26A_8	14:72217555|72236967	2.15055723197509	-4.49799049211011	1.11677840784368	-4.02764815340137	5.63375673463915e-05	0.00629440846731445	0	0	0	0	0	0	8.02887473184015	1.9655155130663	5.8528351961621	3.60869659698984	1.95773142393922	4.39303332170345
sus_circVPS36_1	11:15709103|15712263	4.95768897563622	-4.14145042422131	0.96173570021053	-4.30622511290235	1.66064064284864e-05	0.00241286597187953	1.93178629855149	0.953218147863106	0	0	0	0	2.67629157728005	13.7586085914641	9.75472532693683	9.38261115217358	8.48350283706995	12.5515237762956
sus_circVRK2_14	3:83494202|83500501	3.59420986239281	-2.97474581861838	0.866093059545903	-3.43467227433742	0.000593270839711138	0.0346676525465986	0	0	0	1.27404353190317	0	3.11775779805538	6.69072894320013	5.8965465391989	4.87736266346842	7.21739319397967	6.52577141313073	7.53091426577734
sus_circZC3H6_23	3:44102881|44122061	25.19837761674	-1.92686053806832	0.387431886665669	-4.97341753321168	6.57827648931024e-07	0.000168903986463716	17.3860766869634	8.57896333076796	18.7622699002905	6.37021765951583	6.04371889054329	5.45607614659691	33.4536447160006	60.9309809050554	40.9698463731347	22.373918901337	45.027822750602	37.0269951400719
sus_circZC3H6_26	3:44105997|44122061	3.51766327378783	-3.61642443007338	0.955130296539764	-3.78631527360709	0.000152897663680003	0.0122683259693089	0.965893149275744	0	0	0	1.20874377810866	0.779439449513845	6.02165604888011	9.82757756533151	4.87736266346842	5.05217523578577	7.83092569575688	5.64818569933301
sus_circZNF532_14	1:161909790|161924707	32.5269877335927	-1.27604646696759	0.320857898162497	-3.97698318874278	6.97950972065871e-05	0.00658277969443179	16.4201835376876	24.7836718444408	18.7622699002905	21.6587400423538	10.8786940029779	21.0448651368738	74.2670912695214	53.0689188527901	29.2641759808105	41.8608805250821	45.6803998919151	32.6339618183685
